"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"lynn johnson","1913500","2019-2020","ia","Harlan Comm School District","Ms. Lynn Johnson","3104950","2021-2023","ne","Raymond Central Public Schools","Lynn Johnson"
"james dick","1900028","2005-2010","ia","Prairie Valley","James Dick","3904684","2005-2007, 2016-2020","oh","Amanda-Clearcreek Local","James B. Dick"
"quintin shepherd","1917220","2015-2017","ia","Linn-Mar Comm School District","Quinton Shepherd","4834830","2024","tx","Pflugerville Isd","Quintin Shepherd"
"david smith","1927000","2009-2020, 2023-2024","ia","Spirit Lake Comm School District","Dave Smith","5103060","2010-2015","va","Prince Edward County","Dr. David Smith"
"robert miller","1900021","2004-2010","ia","Okoboji Comm School District","Robert Miller","3610530","2018-2024","ny","Ellicottville Csd","Mr. Robert Miller"
"randy freeman","1931680","2004-2006","ia","Williamsburg Comm School District","Randy  Freeman","2011700","2009-2011","ks","Silver Lake","Freeman, Randy"
"quintin shepherd","1917220","2015-2017","ia","Linn-Mar Comm School District","Quinton Shepherd","4844150","2018-2023","tx","Victoria Isd","Quintin Shepherd"
"donald achelpohl","1730200","2003-2007","il","Orion Comm Unit School Dist 223","DONALD ACHELPOHL ","1911340","2008-2010","ia","Fairfield","Donald Achelpohl"
"attila weninger","1729280","2007-2009","il","Oak Park - River Forest Sd 200","Dr Attila J Weninger","5514490","2010-2014","wi","Stevens Point Area Public School District","Attila Weninger"
"charles martin","1742960","2004-2006","il","Wolf Branch Sch Dist 113","CHARLES E MARTIN ","4842120","2010-2013","tx","Rivercrest Isd","Charles Martin"
"john arrington","1738970","2012","il","Thornton Twp Hsd 205","Mr. John Arrington","4808730","2018-2024","tx","Arp Isd","John Arrington"
"mike ward","1700113","2017-2023","il","Illini Central Cusd 189","Mr. Mike Ward","2011400","2017-2018, 2021-2022","ks","Satanta","Ward, Mark"
"samuel light","1719960","2007-2012","il","Illini Bluffs Cusd 327","Samuel P Light","1303330","2015-2023","ga","Lincoln County","SAMUEL LIGHT"
"james jones","1710340","2007-2013","il","Clay City Cusd 10","James Jones","504680","2016-2024","ar","Cotter School District","JONES, VANESSA"
"daniel lukich","1730420","2008-2009","il","Palatine Ccsd 15","Dr Daniel W Lukich","5102160","2011-2012","va","Lancaster County","Dr. Daniel Lukich"
"john thomas","1800690","2012, 2014-2017","in","North Harrison Com School Corp","Mr John Thomas","3904941","2023","oh","Clear Fork Valley Local","John E. Thomas"
"lynn johnson","1807800","2010, 2012, 2014","in","North Judson-San Pierre Sch Corp","Mrs Lynn Johnson","3104950","2021-2023","ne","Raymond Central Public Schools","Lynn Johnson"
"robert mahon","1813050","2010, 2012, 2014-2017","in","Western Wayne Schools","Dr Robert Mahon","3409420","2012-2013","nj","Manasquan School District","Robert Mahon"
"thomas taylor","1804350","2014-2017","in","Hanover Community School Corp","Thomas Taylor","5103660","2022-2023","va","Stafford County Public Schools","Dr. Thomas W Taylor"
"john thomas","1800690","2012, 2014-2017","in","North Harrison Com School Corp","Mr John Thomas","1731140","2017","il","Pembroke Ccsd 259","Mr. John Thomas"
"michael bennett","1800104","2017","in","Hancock Madison Shelby Ed Services","Michael Bennett","3612870","2022-2024","ny","Greenville Csd","MICHAEL BENNETT"
"michael jones","1811220","2010, 2012, 2014-2017","in","Switzerland County School Corp","Dr Elizabeth Tharp-Jones","4845000","2010-2012","tx","West Hardin County Cisd","Michael Jones"
"robert taylor","1805790","2010, 2012, 2014-2017","in","Lebanon Community School Corp","Dr Robert Taylor","3700390","2011-2019","nc","Bladen County Schools","Robert Taylor"
"wayne burke","2011850","2015-2018, 2021","ks","Spring Hill","Burke, Wayne Dr.","2925330","2024","mo","Pleasant Hill R-Iii","WAYNE BURKE"
"janet neufeld","2003960","2013-2015","ks","Twin Valley","Neufeld, Janet","4023580","2016-2017","ok","Pawhuska","Janet Neufeld"
"michael waters","2004800","2009-2015, 2021-2024","ks","Cimarron-Ensign","Waters, Mike","3100095","2016-2018","ne","Crete Public Schools","MIKE WATERS"
"john barrett","2011190","2021","ks","Rolla","John Barrett","4012000","2024","ok","Fort Supply","John Barrett"
"charles edmonds","2006540","2009-2010","ks","Goddard","Edmonds, Charles S.","4702100","2011-2016","tn","Jefferson County","Dr. Charles Edmonds"
"scott springston","2012510","2009-2011","ks","Valley Center Pub Sch","Springston, Scott","2923550","2013-2015","mo","Park Hill","SCOTT SPRINGSTON"
"david flowers","2007620","2009","ks","Hutchinson Public Schools","Flowers, David","4824000","2014-2024","tx","Huntington Isd","David Flowers"
"robert winter","2011370","2009-2010","ks","Salina","Winter, Robert","3100016","2011-2015","ne","Grand Island Public Schools","ROBERT WINTER"
"mark evans","2003360","2009-2012","ks","Andover","Evans, Mark","3174820","2013-2017","ne","Omaha Public Schools","MARK EVANS"
"michael murray","2633360","2008, 2011-2012","mi","Suttons Bay","Michael Murray","3702340","2011-2016","nc","Jackson County Public Schools","Michael Murray"
"michael wallace","2632640","2008, 2011-2012","mi","St. Charles","Michael Wallace","2923370","2015-2018","mo","Thornfield R-I","Michael Wallace"
"james baker","2618990","2012, 2014-2015","mi","Huron Valley","James Baker","3413560","2024","nj","Ramapo-Indian Hill Reg","James Baker"
"brian metcalf","2616410","2011-2012, 2014-2015","mi","Grand Ledge","Brian Metcalf","1800045","2018-2022","in","Charles A Tindley Accelerated Sch","Brian Metcalf"
"john walker","2634440","2008","mi","Unionville-Sebewaing","John Walker","4014370","2012-2013","ok","Henryetta","John Walker"
"michael gaunt","2608880","2008","mi","Chassell Township","Michael Gaunt","5508730","2010-2013","wi","Marion School District","Michael Gaunt"
"john walker","2634440","2008","mi","Unionville-Sebewaing","John Walker","3616980","2010-2013","ny","North Rose-Wolcott Csd","Mr. John C Walker"
"shawn olson","2618360","2011-2012","mi","Hillman","Shawn Olson","1721270","2019-2020","il","Kirby Sd 140","Dr. Shawn M Olson"
"thomas parker","2612930","2014-2015","mi","Ecorse","Thomas Parker","4202280","2017-2020","pa","Allentown City SD","THOMAS PARKER"
"pamela morris","2600019","2008, 2011","mi","Superior Central","Pamela Morris","4822320","2011-2014","tx","Hamshire-Fannett Isd","Pamela Morris"
"michael miller","2923640","2004","mo","Meadow Heights R-Ii","MICHAEL MILLER","3609900","2023-2024","ny","East Quogue Ufsd","MICHAEL MILLER"
"richard page","2921810","2006-2012","mo","Neosho R-V","RICHARD PAGE","506840","2011-2014, 2016-2018","ar","Gravette School District","PAGE, RICHARD"
"john reed","2929490","2011","mo","Stewartsville C-2","JOHN REED","902910","2013","ct","Newtown School District","dr. john reed"
"david haggard","2921940","2010-2018","mo","New Franklin R-I","DAVID HAGGARD","1912750","2011-2012","ia","Glidden-Ralston","David Haggard"
"larry brown","2920310","2003-2008, 2010-2018","mo","Marionville R-Ix","LARRY BROWN","3905055","2006-2009","oh","Green Local","Larry C. Brown"
"william jones","2922920","2003-2010","mo","Northwestern R-I","WILLIAM JONES","4833060","2007-2008","tx","North Forest Isd","William Jones"
"kevin smith","2918670","2009-2024","mo","Lincoln R-Ii","Kevin Smith","3904535","2019-2023","oh","Crooksville Exempted Village","Kevin C. Smith"
"gary drummond","2925290","2003-2005","mo","Clinton Co. R-Iii","GARY DRUMMOND","1925620","2007-2009","ia","Seymourcomm School District","Gary Drummond"
"stewart weinberg","2917820","2003-2004","mo","Ladue","STEWART WEINBERG","4207230","2008-2011","pa","Dallastown Area SD","STEWART WEINBERG"
"heath morrison","3702970","2012-2013","nc","Charlotte-Mecklenburg Schools","Heath Morrison","4831260","2020-2022","tx","Montgomery Isd","Heath Morrison"
"michael perry","3702160","2012-2014","nc","Hertford County Schools","Michael Perry","5103980","2015-2023","va","Westmoreland County","Dr. Michael D. Perry"
"maria pitre martin","3704500","2013-2014","nc","Thomasville City Schools","Maria Pitre-Martin","5102910","2019-2021","va","Petersburg ","Dr. Maria Pitre-Martin"
"thomas little","3705070","2009-2010","nc","Yancey County Schools","Thomas Little","1808820","2010, 2012, 2014-2016","in","M S D Perry Township","Dr Thomas Little"
"michael freeman","3700180","2012-2018","nc","Anson County Schools","Michael Freeman","507170","2023-2024","ar","Hackett School District","Freeman, Michael E."
"steven hill","3700360","2016","nc","Bertie County Schools","Steven Hill","5515870","2018-2024","wi","Waupun School District","STEVEN HILL"
"donald andrews","3703780","2009-2012","nc","Randolph County School System","Donald Andrews","4700900","2013-2015","tn","Cumberland County","Mr. Donald Andrews"
"david lewis","3704880","2020-2022","nc","Wayne County Public Schools","David Lewis","1701424","2022","il","Betty Shabazz International Charter School","David Lewis"
"tony watlington","3704050","2020","nc","Rowan-Salisbury Schools","Tony Watlington","4218990","2022-2024","pa","Philadelphia City SD","TONY WATLINGTON"
"paul hillyer","3105340","2005-2009","ne","Columbus Public Schools","PAUL HILLYER","4111610","2022","or","South Umpqua SD 19","Paul Hillyer"
"randy nelson","3174430","2001-2006","ne","Norfolk Public Schools","RANDY NELSON","5507530","2011-2019","wi","La Crosse School District","Randy Nelson"
"tucker lillis","3174760","2005-2007","ne","Ogallala Public Schools","TUCKER LILLIS","1919740","2008","ia","Mormon Trail","Tucker Lillis"
"sandra dop","3162730","2005","ne","Phelps District R 4","SANDRA DOP","1911040","2007-2008","ia","Essexcomm School District","Sandra Dop"
"jeffery smith","3174640","2015-2020","ne","Oakland Craig Public Schools","Jeffery Smith","5101800","2015-2023","va","Hampton ","Dr. Jeffery O. Smith"
"richard stephens","3102820","2001-2004","ne","Boone Central Schools","RICHARD STEPHENS","4825230","2013-2024","tx","Keene Isd","Richard Stephens"
"frank harwood","3103810","2011-2015","ne","Bellevue Public Schools","FRANK HARWOOD","2005490","2016-2018, 2021-2022","ks","De Soto","Harwood, Frank"
"james haley","3178940","2014-2019","ne","Wood River Rural Schools","JAMES HALEY","4834550","2016-2017","tx","Pecos-Barstow-Toyah Isd","James Haley"
"james grube","3408580","2011-2017, 2019-2020","nj","Lincoln Park School District","James Grube","3904697","2021-2023","oh","Groveport Madison Local","James C. Grube"
"joseph ricca","3404170","2011-2013","nj","East Hanover Township School District","Joseph Ricca","3610650","2013-2017","ny","Elmsford Ufsd","Mr. Joseph Ricca"
"matthew block","3408820","2020-2024","nj","Livingston Twp","Matthew Block","3603180","2024","ny","Ardsley Ufsd","MATTHEW BLOCK"
"john ramos","3415330","2015-2016","nj","South Orange-Maplewood School District","John Ramos","4813170","2015-2020","tx","Castleberry Isd","John Ramos"
"earl kim","3410590","2011","nj","Montgomery Township School District","Earl Kim","904320","2016-2018","ct","Stamford School District","mr. earl kim"
"michael jones","3406600","2014-2017","nj","Hampton Borough School District","MICHAEL JONES","4816500","2022-2023","tx","Decatur Isd","Michael Jones"
"robert walker","3416870","2014","nj","Wallkill Valley Regional High School District","Robert Walker","3904633","2023","oh","Felicity-Franklin Local","Robert T. Walker"
"john davis","3413380","2016-2017","nj","Port Republic School District","John Davis","4832910","2018","tx","Normangee Isd","John Davis"
"joseph ricca","3404170","2011-2013","nj","East Hanover Township School District","Joseph Ricca","3631260","2018-2024","ny","White Plains City Sd","Mr. Joseph L Ricca"
"michael mcmahon","3630270","2010, 2013","ny","Waverly Csd","Mr. Michael W McMahon","5512000","2024","wi","Port Washington-Saukville School District","Michael Mcmahon"
"robert young","3611970","2010-2011","ny","Geneva City Sd","Mr. Robert Young","2005760","2022","ks","Elk Valley","Robert Young"
"john williams","3602940","2010-2013","ny","Amityville Ufsd","Dr. John R Williams","1811190","2014","in","Sunman-Dearborn Com Sch Corp","John Williams"
"daniel george","3627660","2010-2012","ny","Southwestern Csd At Jamestown","Mr. Daniel A George","2600207","2011-2012, 2014-2015","mi","Creative Technologies Academy","Daniel George"
"christopher brown","3630630","2010-2018","ny","West Genesee Csd","Dr. Christopher R Brown","607440","2021-2022","ca","Capistrano Unified","Christopher Brown"
"mark crawford","3630780","2010-2017","ny","West Seneca Csd","Dr. Mark J Crawford","2006570","2021-2024","ks","Goessel","Mark Crawford"
"richard brockel","3612960","2010-2012","ny","Greenwood Lake Ufsd","Dr. Richard J Brockel","3407350","2014","nj","Hoboken Public School District","Richard Brockel"
"donald wheeler","3603810","2011-2015","ny","Bainbridge-Guilford Csd","Mr. Donald Wheeler","4203840","2016-2021","pa","Bloomsburg Area SD","DONALD WHEELER"
"geoffrey gordon","3623580","2010-2011","ny","Port Washington Ufsd","Dr. Geoffrey N Gordon","3413980","2019","nj","Riverdale Boro","Geoffrey Gordon"
"john weaver","3904627","2005","oh","Southeastern Local","John W. Weaver","4008040","2012-2013","ok","Cleveland","John Weaver"
"jack thompson","3904790","2010-2023","oh","Perry Local","Jack K. Thompson","4100990","2016-2018, 2020-2021","or","Adel SD 21","Jack Thompson"
"mark scott","3904617","2019-2023","oh","Brown Local","Mark D. Scott","1727780","2023","il","Nauvoo-Colusa Cusd 325","Mr. Mark Scott"
"andrew jackson","3904736","2012-2013","oh","Northwest Local","Andrew S. Jackson","1811190","2015-2021, 2023-2024","in","Sunman-Dearborn Com Sch Corp","Andrew Jackson"
"jack thompson","3904790","2010-2023","oh","Perry Local","Jack K. Thompson","4109960","2016-2018, 2020","or","Plush SD 18","Jack Thompson"
"donald barnes","3904774","2005-2006","oh","Western Reserve Local","Donald A. Barnes","2609150","2008, 2011","mi","Chesaning Union","Donald Barnes"
"terry martin","3904517","2006-2013","oh","Zanesville City","Terry M. Martin","4111970","2021-2023","or","Sweet Home SD 55","Terry Martin"
"scott davis","3904676","2005-2006","oh","Olentangy Local","Scott M. Davis","4826610","2008-2011","tx","Lamesa Isd","Scott Davis"
"david gray","3904664","2005-2010","oh","Franklin Monroe Local","David A. Gray","2612810","2015","mi","Eau Claire","DAVID GRAY"
"mylo miller","4000784","2015-2017","ok","Harding (Charter)","Mylo Miller","2008130","2018, 2021-2024","ks","South Barber","Miller, Mylo Dr"
"mike davis","4018390","2013-2023","ok","Lookeba Sickles","Mike Davis","4703600","2013-2016","tn","Robertson County","Mr. Mike Davis"
"james white","4023970","2012-2023","ok","Piedmont","James White","2923780","2016-2020","mo","Pemiscot Co. Spec. Sch. Dist.","James White"
"john weaver","4008040","2012-2013","ok","Cleveland","John Weaver","2624180","2014","mi","Montague","John Weaver"
"lisa weaver","4031860","2014-2023","ok","Watts","Lisa Weaver","1731860","2017-2023","il","Pleasant Hill Sd 69","Mrs. Lisa M Weaver"
"dudley hume","4032130","2012","ok","Webbers Falls","Dudley Hume","514400","2013-2014, 2016-2019","ar","Woodlawn School District","HUME, DUDLEY  ."
"chad hall","4017580","2018-2024","ok","Lexington","Chad` Hall","2904980","2023-2024","mo","Bevier C-4","Chad Hall"
"chris ballenger","4015750","2012-2016","ok","Jennings","Chris Ballenger","5103870","2020-2024","va","Warren County","Dr. Chris L. Ballenger"
"jim howard","4111610","2014","or","South Umpqua SD 19","Jim Howard","2007530","2016-2018","ks","Hoxie Community Schools","Howard, Jim"
"kevin miller","4113490","2012-2018, 2020","or","Winston-Dillard SD 116","Kevin Miller","3904800","2021-2023","oh","Licking Heights Local","Kevin S. Miller"
"a katrise perera","4106000","2016-2018, 2020","or","Gresham-Barlow SD 10J","A. Katrise Perera","4826670","2021-2024","tx","Lancaster Isd","Agnella Perera"
"brian shumate","4108040","2013-2017","or","Medford SD 549C","Brian  Shumate","1300001","2019-2023","ga","Troup County","BRIAN SHUMATE"
