"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"abidin erez","4000753","2022-2024","ok","Dove Schools Of Tulsa","Abidin Erez","4000799","2022-2024","ok","Dove Schools Of Okc","Abidin Erez"
"abidin erez","4000753","2022-2024","ok","Dove Schools Of Tulsa","Abidin Erez","4000806","2022-2024","ok","Dove Virtual Academy","Abidin Erez"
"abidin erez","4000799","2022-2024","ok","Dove Schools Of Okc","Abidin Erez","4000806","2022-2024","ok","Dove Virtual Academy","Abidin Erez"
"adam bisenius","1912230","2023-2024","ia","Galva-Holstein Comm School District","Adam  Bisenius","1925380","2023-2024","ia","Schaller-Crestland Comm School District","Adam Bisenius"
"adam brumbaugh","1700310","2017","il","West Carroll Cusd 314","Mr. Adam Brumbaugh","1716350","2018-2023","il","Geneseo Cusd 228","Dr. Adam Brumbaugh"
"adam clark","640740","2015-2017","ca","Vallejo City Unified","Adam Clark","626370","2018-2022","ca","Mt. Diablo Unified","Adam Clark"
"adam ehrman","1715750","2008-2011","il","Franklin Cusd 1","Adam N Ehrman","1706750","2021-2023","il","Bourbonnais Sd 53","Dr. Adam Ehrman"
"adam ehrman","1715750","2008-2011","il","Franklin Cusd 1","Adam N Ehrman","1727990","2012-2014, 2017-2020","il","New Berlin Cusd 16","Mr. Adam Ehrman"
"adam ehrman","1727990","2012-2014, 2017-2020","il","New Berlin Cusd 16","Mr. Adam Ehrman","1706750","2021-2023","il","Bourbonnais Sd 53","Dr. Adam Ehrman"
"adam englebretson","5510560","2020-2021","wi","New Lisbon School District","Adam Englebretson","5504260","2022-2024","wi","Elkhart Lake-Glenbeulah School District","Adam Englebretson"
"adam fineske","3904487","2016-2017","oh","Sylvania Schools","Adam D. Fineske","3904821","2018-2023","oh","Ottawa Hills Local","Adam D. Fineske"
"adam hathaway","1304470","2014-2018","ga","Schley County","HATHAWAY,ADAM W","1304980","2018-2022","ga","Tift County","HATHAWAY,ADAM W"
"adam ivy","4842630","2016-2022","tx","Thorndale Isd","Adam Ivy","4811990","2023-2024","tx","Buffalo Isd","Adam Ivy"
"adam lambert","3105280","2016-2019","ne","Cody-Kilgore Public Schs","Adam Lambert","3100163","2020-2024","ne","Chase County Schools","Adam Lambert"
"adam mcdaniel","2000023","2012-2013","ks","Rawlins County","McDaniel, Adam","2010170","2014-2016","ks","Onaga-Havensville-Wheaton","McDaniel, Adam"
"adam newman","4015450","2017-2023","ok","Indianola","Adam Newman","4027000","2024","ok","Savanna","Adam Newman"
"adam patrick","3175810","2019-2021","ne","Potter-Dix Public Schools","Adam Patrick","3100085","2022-2024","ne","St Paul Public Schools","Adam Patrick"
"adam pittis","3904754","2011-2013","oh","Conotton Valley Union Local","Adam M. Pittis","3906968","2014-2019","oh","East Guernsey Local","Adam M. Pittis"
"adam schaible","611610","2009-2013","ca","Dunham Elementary","Adam Schaible","643200","2014-2019","ca","Wright Elementary","Adam Schaible"
"adam willard","2909860","2017-2018","mo","Clinton","ADAM WILLARD","2917970","2024","mo","Lathrop R-Ii","ADAM WILLARD"
"adam willard","2909860","2017-2018","mo","Clinton","ADAM WILLARD","2930990","2019-2023","mo","Walnut Grove R-V","ADAM WILLARD"
"adam willard","2929340","2014-2016","mo","Stanberry R-Ii","ADAM WILLARD","2909860","2017-2018","mo","Clinton","ADAM WILLARD"
"adam willard","2929340","2014-2016","mo","Stanberry R-Ii","ADAM WILLARD","2917970","2024","mo","Lathrop R-Ii","ADAM WILLARD"
"adam willard","2929340","2014-2016","mo","Stanberry R-Ii","ADAM WILLARD","2930990","2019-2023","mo","Walnut Grove R-V","ADAM WILLARD"
"adam willard","2930990","2019-2023","mo","Walnut Grove R-V","ADAM WILLARD","2917970","2024","mo","Lathrop R-Ii","ADAM WILLARD"
"adam zellmer","1910690","2018-2020, 2023-2024","ia","Eldora-New Providence Comm School District","Dr. Adam Zellmer","1914310","2018-2020, 2023-2024","ia","Hubbard-Radcliffe Comm School District","Adam Zellmer"
"administrator","1730930","2003","il","Pawnee Comm Unit School Dist 11","ADMINISTRATOR ","1731710","2003","il","Pikeland C U Sch Dist 10","ADMINISTRATOR "
"administrator","1730930","2003","il","Pawnee Comm Unit School Dist 11","ADMINISTRATOR ","1732830","2005","il","Prophetstown-Lyndon-Tampico Cusd3","ADMINISTRATOR "
"administrator","1731710","2003","il","Pikeland C U Sch Dist 10","ADMINISTRATOR ","1732830","2005","il","Prophetstown-Lyndon-Tampico Cusd3","ADMINISTRATOR "
"adrain johnson","4826160","2001-2005","tx","La Marque Isd","Adrain Johnson","4822830","2016-2024","tx","Hearne Isd","Adrain Johnson"
"adrain johnson","4826160","2001-2005","tx","La Marque Isd","Adrain Johnson","4833060","2009-2010","tx","North Forest Isd","Adrain Johnson"
"adrain johnson","4833060","2009-2010","tx","North Forest Isd","Adrain Johnson","4822830","2016-2024","tx","Hearne Isd","Adrain Johnson"
"adren pilger","4838100","2013-2016","tx","Round Top-Carmine Isd","Adren Pilger","4815420","2023","tx","Coupland Isd","Adren Pilger"
"adrian eftink","2923070","2016-2021","mo","Oak Ridge R-Vi","ADRIAN EFTINK","2919350","2022-2024","mo","Woodland R-Iv","Adrian Eftink"
"adrian palazuelos","613800","2012-2018","ca","Fillmore Unf","Adrian Palazuelos","637200","2019-2020","ca","Sonoma Valley Unified","Adrian Palazuelos"
"agueda aguinaga","4800023","1996-1997, 2000","tx","Information Referral Resource","Agueda Aguinaga","4800134","2000","tx","Sentry Technology Prep Sc","Agueda Aguinaga"
"agueda pena","4800023","2001-2004, 2006, 2010-2011","tx","One Stop Multiservice Cha","Agueda Pena","4800244","2002-2003","tx","Children Of The Sun Chart","Agueda Pena"
"agueda pena","4800134","1999, 2001-2003","tx","Sentry Technology Prep","Augie Pena","4800023","2001-2004, 2006, 2010-2011","tx","One Stop Multiservice Cha","Agueda Pena"
"agueda pena","4800134","1999, 2001-2003","tx","Sentry Technology Prep","Augie Pena","4800244","2002-2003","tx","Children Of The Sun Chart","Agueda Pena"
"ahmed saber","2600217","2008, 2011-2012, 2014-2015","mi","Oakland International","Ahmed Saber","2600290","2014-2015","mi","Academy Of Waterford","Ahmed Saber"
"ahmed saber","2600217","2008, 2011-2012, 2014-2015","mi","Oakland International","Ahmed Saber","2601016","2014","mi","Caniff Liberty Academy","Ahmed Saber"
"ahmed saber","2600290","2014-2015","mi","Academy Of Waterford","Ahmed Saber","2601016","2014","mi","Caniff Liberty Academy","Ahmed Saber"
"aireane curtis","3904566","2018-2022","oh","Windham Exempted Village","Aireane L. Curtis","3904918","2023","oh","Crestwood Local","Aireane L. Curtis"
"al gegenheimer","1722050","2003","il","Laraway C C School Dist 70c","AL GEGENHEIMER ","1726310","2007-2013","il","Minooka Ccsd 201","Al Gegenheimer"
"al gegenheimer","1722050","2003","il","Laraway C C School Dist 70c","AL GEGENHEIMER ","1727930","2017-2018","il","Nettle Creek Ccsd 24c","Mr. Al Gegenheimer"
"al gegenheimer","1722050","2003","il","Laraway C C School Dist 70c","AL GEGENHEIMER ","1739660","2003","il","Union School Dist 81","AL GEGENHEIMER "
"al gegenheimer","1726310","2007-2013","il","Minooka Ccsd 201","Al Gegenheimer","1727930","2017-2018","il","Nettle Creek Ccsd 24c","Mr. Al Gegenheimer"
"al gegenheimer","1739660","2003","il","Union School Dist 81","AL GEGENHEIMER ","1726310","2007-2013","il","Minooka Ccsd 201","Al Gegenheimer"
"al gegenheimer","1739660","2003","il","Union School Dist 81","AL GEGENHEIMER ","1727930","2017-2018","il","Nettle Creek Ccsd 24c","Mr. Al Gegenheimer"
"al nelson","4826790","2009-2016","tx","Laredo Isd","Al Nelson","4844280","2017-2018","tx","Waco Isd","Al Nelson"
"alan addley","901680","2008-2018","ct","Granby School District","alan addley","901050","2019-2023","ct","Darien School District","dr. alan addley"
"alan beitman","902550","2007","ct","Monroe School District","alan r. beitman","903520","2008-2018","ct","Regional School District 10","alan r. beitman"
"alan boucher","1701395","2009-2014","il","Mercer County School District 404","Alan Boucher","1736180","2017-2021","il","Sherrard Cusd 200","Mr. Alan Boucher"
"alan broughton","2620400","2011","mi","Kingston","Alan Broughton","2622860","2014","mi","Marlette","Alan Broughton"
"alan ehlers","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS"
"alan ehlers","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS"
"alan ehlers","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS"
"alan ehlers","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS"
"alan ehlers","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3105970","2007","ne","Tri County Public Schools","ALAN EHLERS"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS"
"alan ehlers","3169840","2005-2006","ne","Dorchester Public Schools","ALAN EHLERS","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS"
"alan ehlers","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS"
"alan ehlers","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS"
"alan ehlers","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS","3100154","2018-2021","ne","Northeast Ne Juvenile Services","Alan Ehlers"
"alan ehlers","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS","3105010","2010-2011","ne","Chambers Public Schools","ALAN EHLERS"
"alan ehlers","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS","3173230","2012-2022","ne","Madison Public Schools","ALAN EHLERS"
"alan ehlers","3178670","2008-2011","ne","Wheeler Central Schools","ALAN EHLERS","3176890","2009-2010","ne","Spalding Public Schools","ALAN EHLERS"
"alan estes","1717190","2012-2013","il","Grand Prairie Ccsd 6","Mr. Alan R Estes","1740650","2014","il","Waltonville Cusd 1","Mr. Alan Estes"
"alan estes","1743200","2006-2011","il","Woodlawn Chsd 205","ALAN R ESTES","1717190","2012-2013","il","Grand Prairie Ccsd 6","Mr. Alan R Estes"
"alan estes","1743200","2006-2011","il","Woodlawn Chsd 205","ALAN R ESTES","1740650","2014","il","Waltonville Cusd 1","Mr. Alan Estes"
"alan garey","3173600","2008-2022","ne","Medicine Valley Public Schools","ALAN GAREY","3100077","2024","ne","Dundy Co Stratton Public Schs","Alan Garey"
"alan groveman","3608160","2010-2012","ny","Connetquot Csd","Dr. Alan B Groveman","3611760","2018","ny","Garden City Ufsd","Dr. Alan Groveman"
"alan johnson","4216500","2013-2017","pa","Woodland Hills SD","ALAN JOHNSON","4208060","2021-2022","pa","East Allegheny SD","ALAN JOHNSON"
"alan kerr","2929490","2007-2008","mo","Stewartsville C-2","ALAN KERR","2926790","2010-2014","mo","Rock Port R-Ii","ALAN KERR"
"alan lonoconus","4210870","2009-2014","pa","Great Valley SD","ALAN LONOCONUS","4212725","2018","pa","Keystone Central SD","ALAN LONOCONUS"
"alan lonoconus","4221540","2008","pa","Shikellamy SD","Alan Lonoconus","4210870","2009-2014","pa","Great Valley SD","ALAN LONOCONUS"
"alan lonoconus","4221540","2008","pa","Shikellamy SD","Alan Lonoconus","4212725","2018","pa","Keystone Central SD","ALAN LONOCONUS"
"alan marshall","1906660","2005-2015","ia","Center Point-Urbana","Alan Marshall","1920820","2018","ia","North Linn Comm School District","Alan Marshall"
"alan marshall","1913530","2004","ia","Harmony Comm School District","Alan P. Marshall","1906660","2005-2015","ia","Center Point-Urbana","Alan Marshall"
"alan marshall","1913530","2004","ia","Harmony Comm School District","Alan P. Marshall","1920820","2018","ia","North Linn Comm School District","Alan Marshall"
"alan meyer","1900040","2004-2011","ia","East Marshall Comm School District","Alan Meyer","1928020","2013-2014","ia","Tri-County","Alan Meyer"
"alan middleton","1809300","2010, 2012","in","Prairie Heights Com Sch Corp","Mr Alan Middleton","1801710","2015-2017","in","Central Noble Com School Corp","Alan Middleton"
"alan miller","1920100","2009-2019","ia","Murray Comm School District","Alan Miller","1919740","2011-2014","ia","Mormon Trail","Alan Miller"
"alan moyer","4211450","2009-2012","pa","Hanover Public SD","Alan Moyer","4221570","2022","pa","Shippensburg Area SD","ALAN MOYER"
"alan moyer","4211450","2009-2012","pa","Hanover Public SD","Alan Moyer","4222050","2013-2016","pa","South Middleton SD","ALAN MOYER"
"alan moyer","4222050","2013-2016","pa","South Middleton SD","ALAN MOYER","4221570","2022","pa","Shippensburg Area SD","ALAN MOYER"
"alan oakley","4830780","2004","tx","Milford Isd","Alan Oakley","4834110","2005-2009","tx","Palmer Isd","Alan Oakley"
"alan oakley","4830780","2004","tx","Milford Isd","Alan Oakley","4839570","2011-2012","tx","Scurry-Rosser Isd","Alan Oakley"
"alan oakley","4830780","2004","tx","Milford Isd","Alan Oakley","4843760","2017","tx","Valley Mills Isd","Alan Oakley"
"alan oakley","4830780","2004","tx","Milford Isd","Alan Oakley","4844010","2014","tx","Venus Isd","Alan Oakley"
"alan oakley","4834110","2005-2009","tx","Palmer Isd","Alan Oakley","4839570","2011-2012","tx","Scurry-Rosser Isd","Alan Oakley"
"alan oakley","4834110","2005-2009","tx","Palmer Isd","Alan Oakley","4843760","2017","tx","Valley Mills Isd","Alan Oakley"
"alan oakley","4834110","2005-2009","tx","Palmer Isd","Alan Oakley","4844010","2014","tx","Venus Isd","Alan Oakley"
"alan oakley","4839570","2011-2012","tx","Scurry-Rosser Isd","Alan Oakley","4843760","2017","tx","Valley Mills Isd","Alan Oakley"
"alan oakley","4839570","2011-2012","tx","Scurry-Rosser Isd","Alan Oakley","4844010","2014","tx","Venus Isd","Alan Oakley"
"alan oakley","4844010","2014","tx","Venus Isd","Alan Oakley","4843760","2017","tx","Valley Mills Isd","Alan Oakley"
"alan rasmussen","628140","2008","ca","Ocean View","Alan Rasmussen","618060","2014","ca","Huntington Beach Union High","Alan Rasmussen"
"alanna huck","4206930","2010-2015","pa","School District","ALANNA HUCK","4210530","2016-2021","pa","Galeton Area SD","Alanna Huck"
"alanna huck","4206930","2010-2015","pa","School District","ALANNA HUCK","4225170","2022-2024","pa","Wellsboro Area SD","ALANNA HUCK"
"alanna huck","4210530","2016-2021","pa","Galeton Area SD","Alanna Huck","4225170","2022-2024","pa","Wellsboro Area SD","ALANNA HUCK"
