"name_clean","leaid1","years1","state1","leaid_name1","name_raw1","leaid2","years2","state2","leaid_name2","name_raw2"
"mark witty","4106780","2012-2013, 2022-2023","or","John Day SD 3","Mark Witty","4101710","2014-2018, 2020","or","Baker SD 5J","Mark Witty"
"matthew hawley","4100014","2012-2013","or","Vale SD 84","Matthew Hawley","4103630","2014-2018, 2020-2023","or","Harney County Union High SD 1J","Matthew Hawley"
"william rhoades","4113530","2018","or","Woodburn SD 103","William Rhoades","4108880","2023","or","North Marion SD 15","William Rhoades"
"william rhoades","4113170","2012-2014","or","West Linn-Wilsonville SD 3J","William Rhoades","4113530","2018","or","Woodburn SD 103","William Rhoades"
"andrew kovach","4109510","2015","or","Pendleton SD 16","Andrew Kovach","4104500","2020-2023","or","Eagle Point SD 9","Andrew Kovach"
"helen mccracken","4204890","2008-2011","pa","Canon-McMillan SD","HELEN MCCRACKEN","4205430","2017-2019","pa","Central Greene SD","Helen McCracken"
"michael panza","4205040","2008-2010","pa","Carlynton SD","MICHAEL PANZA","4225590","2013-2015","pa","West Jefferson Hills SD","MICHAEL PANZA"
"michelle miller","4203688","2010-2013","pa","School District","MICHELLE MILLER","4226520","2014-2015","pa","Wilmington Area SD","MICHELLE MILLER"
"fred foster","4209870","2009-2011","pa","Forbes Road SD","Fred Foster","4212090","2012-2020","pa","Huntingdon Area SD","FRED FOSTER"
"keith wolfe","4219800","2010-2015","pa","School District","KEITH WOLFE","4204830","2016-2021","pa","Cameron County SD","KEITH WOLFE"
"richard makin","4219830","2008","pa","Purchase Line SD","RICHARD MAKIN","4206150","2009","pa","Clearfield Area SD","RICHARD MAKIN"
"thomas turnbaugh","4223760","2008","pa","Trinity Area SD","THOMAS TURNBAUGH","4205190","2009","pa","Centennial SD","THOMAS TURNBAUGH"
"janet sardon","4225680","2009-2010","pa","West Mifflin Area SD","JANET SARDON","4221150","2011-2021","pa","School District","Janet Sardon"
"gary lilly","4700360","2011-2018","tn","Bristol","Mr. Gary L. Lilly","4700149","2019-2022","tn","Collierville","Mr Gary Lilly"
"versie hamlett","4701950","2013-2018","tn","Humboldt","Dr. Versie Hamlett","4701240","2020-2022","tn",NA,"Mr. Versie Hamlett"
"marlon king","4701770","2011","tn","Haywood County","Mr. Marlon King","4702580","2019-2022","tn","Madison County","Mr Marlon King"
"robert greene","4700120","2011-2013, 2019-2022","tn","Athens","Mr. Robert Greene","4700930","2017-2018","tn","Dayton","Mr. Robert Greene"
"joey hassell","4702310","2011","tn","Lauderdale County","Mr. Joey Hassell","4701770","2017-2021","tn","Haywood County","Mr. Joel Hassell"
"jerry boyd","4703480","2012-2018","tn","Putnam County","Mr. Jerry Boyd","4704380","2020-2022","tn","Washington County","Mr. Jerry Boyd"
"steve starnes","4701740","2013-2016","tn","Hawkins County","Mr. Steve Starnes","4701500","2017-2022","tn","Greeneville","Mr. Steve Starnes"
"melanie miller","4704050","2011-2012","tn","Sweetwater","Ms. Melanie Miller","4700120","2014-2018","tn","Athens","Ms. Melanie Miller"
"dennis hughes","4842720","1995-1997","tx","Three Way Isd","Dennis Hughes","4821180","2018","tx","Gordon Isd","Dennis Hughes"
